ἄβαρις,ἄβαρις
ἄβιος,ἄβιος
ἀβροκόμας,ἀβροκόμας
ἀγάθαρχος,ἀγάθαρχος
ἀγαθῆς_τύχης_νεώς,ἀγαθῆς τύχης νεώς
ἀγασικλῆς,ἀγασικλῆς
ἄγοι,ἄγοι
ἀγελαίων,ἀγελαίων
ἀγενής,ἀγενής
ἀγησίλαος,ἀγησίλαος
ἄγλαυρος,ἄγλαυρος
ἁγνεύετε_τὴν_πόλιν,ἁγνεύετε τὴν πόλιν
ἁγνίας,ἁγνίας
ἀγνοῦς,ἀγνοῦς
ἀγνωμόνως,ἀγνωμόνως
ἀγοράς,ἀγοράς
ἀγορανόμοι,ἀγορανόμοι
ἀγοράσαι,ἀγοράσαι
ἀγραφίου,ἀγραφίου
ἀγρίους,ἀγρίους
ἀγρυλή,ἀγρυλή
ἀγυιᾶς,ἀγυιᾶς
ἀγύρριος,ἀγύρριος
ἀγωνίαν,ἀγωνίαν
ἀγωνιῶντες,ἀγωνιῶντες
ἀδέητος,ἀδέητος
ἀδελφίζειν,ἀδελφίζειν
ἀδημονούσης,ἀδημονούσης
ἀδηφάγους_τριήρεις,ἀδηφάγους τριήρεις
ἀδιάστατον,ἀδιάστατον
ἀδικίου,ἀδικίου
ἀδοκίμαστος,ἀδοκίμαστος
ἀδράστειαν,ἀδράστειαν
ἀδύνατοι,ἀδύνατοι
ἀεί,ἀεί
ἄϊδρις,ἄϊδρις
ἀειλογία,ἀειλογία
ἀειεστώ,ἀειεστώ
ἄερκτον,ἄερκτον
ἀετός,ἀετός
ἀζηνιεύς,ἀζηνιεύς
ἀζήτητον,ἀζήτητον
ἀθεώρητος,ἀθεώρητος
ἀθηνόδωρος,ἀθηνόδωρος
ἀθμονεύς,ἀθμονεύς
αἰγεῖον,αἰγεῖον
αἰγεῖδαι,αἰγεῖδαι
αἰγίδας_ἐκάλουν,αἰγίδας ἐκάλουν
αἰγιλιεύς,αἰγιλιεύς
αἰδέσασθαι,αἰδέσασθαι
αἰθαλίδης,αἰθαλίδης
αἰθιόπιον,αἰθιόπιον
αἰκίας,αἰκίας
αἰνίους,αἰνίους
αἰξωνῆσιν,αἰξωνῆσιν
ἀκαδήμεια,ἀκαδήμεια
ἀκαμαντίς,ἀκαμαντίς
ἀκαρῆ,ἀκαρῆ
ἀκινάκης,ἀκινάκης
ἄκη,ἄκη
ἀκμάζεις,ἀκμάζεις
ἄκριτος,ἄκριτος
ἀκροᾶσθαι,ἀκροᾶσθαι
ἀκτή,ἀκτή
ἄκτια,ἄκτια
ἀλαβαστοθῆκαι,ἀλαβαστοθῆκαι
ἁλαιεύς,ἁλαιεύς
ἀλάστωρ,ἀλάστωρ
ἁλέας,ἁλέας
ἀλέξανδρος,ἀλέξανδρος
ἁλίπεδόν,ἁλίπεδόν
ἁλιμούσιοι,ἁλιμούσιοι
ἁλιρρόθιος,ἁλιρρόθιος
ἀλκέτας,ἀλκέτας
ἀλκιβιάδης,ἀλκιβιάδης
ἀλκίμαχος,ἀλκίμαχος
ἀλκμαιωνίδαι,ἀλκμαιωνίδαι
ἀλογίαν,ἀλογίαν
ἄλογοι_ἐρανισταί,ἄλογοι ἐρανισταί
ἁλόννησος,ἁλόννησος
ἀλόπη,ἀλόπη
ἁλουργοπωλική,ἁλουργοπωλική
ἁλῶα,ἁλῶα
ἀλωπεκή,ἀλωπεκή
ἀλωπεκόννησος,ἀλωπεκόννησος
ἀμάδοκος,ἀμάδοκος
ἀμαζόνειον,ἀμαζόνειον
ἁμαξάντεια,ἁμαξάντεια
ἀμβλωθρίδιον,ἀμβλωθρίδιον
ἀμβρακία,ἀμβρακία
ἅμιπποι,ἅμιπποι
ἀμμωνίς,ἀμμωνίς
ἀμόργης,ἀμόργης
ἀμοργός,ἀμοργός
ἀμφιγνοεῖν,ἀμφιγνοεῖν
ἀμφιδέαι,ἀμφιδέαι
ἀμφιδρόμια,ἀμφιδρόμια
ἀμφικτύονες,ἀμφικτύονες
ἀμφίπολις,ἀμφίπολις
ἀμφισβητεῖν_καὶ_παρακαταβάλλειν,ἀμφισβητεῖν καὶ παρακαταβάλλειν
ἄμφισσα,ἄμφισσα
ἀμφοτερόπλουν,ἀμφοτερόπλουν
ἁμωσγέπως,ἁμωσγέπως
ἀναβάλλει,ἀναβάλλει
ἀνάγειν,ἀνάγειν
ἀναγεῖς,ἀναγεῖς
ἀναγινωσκόμενος,ἀναγινωσκόμενος
ἀναγκαῖον,ἀναγκαῖον
ἀναγυράσιος,ἀναγυράσιος
ἀναδικάσασθαι,ἀναδικάσασθαι
ἀναθέσθαι,ἀναθέσθαι
ἀναιρεθείς,ἀναιρεθείς
ἀναίνεσθαι,ἀναίνεσθαι
ἀνακαίασιν,ἀνακαίασιν
ἀνακαλυπτήρια,ἀνακαλυπτήρια
ἀνάκειον,ἀνάκειον
ἀνάκρισις,ἀνάκρισις
ἄνακτες_καὶ_ἄνασσαι,ἄνακτες καὶ ἄνασσαι
ἀναξαγόρας,ἀναξαγόρας
ἀναξίβιος,ἀναξίβιος
ἀναποδιζόμενα,ἀναποδιζόμενα
ἀνασείσας,ἀνασείσας
ἀνασυντάξας,ἀνασυντάξας
ἀνατί,ἀνατί
ἀναφλύστιοι,ἀναφλύστιοι
ἀναφοράν,ἀναφοράν
ἄνδηρα,ἄνδηρα
ἀνδοκίδου_ἑρμῆς,ἀνδοκίδου ἑρμῆς
ἀνδραποδοκάπηλος,ἀνδραποδοκάπηλος
ἀνδραποδιστής,ἀνδραποδιστής
ἀνδρεία,ἀνδρεία
ἀνδροληψία,ἀνδροληψία
ἄνδρων,ἄνδρων
ἀνελοῦσα_γὰρ_τὸν_νόμον,ἀνελοῦσα γὰρ τὸν νόμον
ἀνεμύτας,ἀνεμύτας
ἀνεπόπτευτος,ἀνεπόπτευτος
ἀνεσκευάσαντο,ἀνεσκευάσαντο
ἄνετον,ἄνετον
ἀνεχαίτισε,ἀνεχαίτισε
ἀνήκει,ἀνήκει
ἄνθεια,ἄνθεια
ἀνθεμόκριτος,ἀνθεμόκριτος
ἀνθεμοῦς,ἀνθεμοῦς
ἀνθεστηριών,ἀνθεστηριών
ἀνθήνη,ἀνθήνη
ἀνθυπώμοσαν,ἀνθυπώμοσαν
ἀνίδρυτος,ἀνίδρυτος
ἄνοικος,ἄνοικος
ἀντεπιτίθησιν,ἀντεπιτίθησιν
ἀντιάταις,ἀντιάταις
ἀντιβληθέντος,ἀντιβληθέντος
ἀντιγενίδας,ἀντιγενίδας
ἀντιγραφεύς,ἀντιγραφεύς
ἀντιγραφή,ἀντιγραφή
ἀντίθεσις,ἀντίθεσις
ἀντίκυρα,ἀντίκυρα
ἀντιοχίς,ἀντιοχίς
ἀντιφῶν,ἀντιφῶν
ἀντίπατρος,ἀντίπατρος
ἄντισσα,ἄντισσα
ἀντρῶνες,ἀντρῶνες
ἀντωμοσία,ἀντωμοσία
ἀνωρθίαζον,ἀνωρθίαζον
ἀξιοῖ,ἀξιοῖ
ἀξίοχος,ἀξίοχος
ἄξονι,ἄξονι
ἄοπτα,ἄοπτα
ἄπαγε,ἄπαγε
ἀπαγορεύειν,ἀπαγορεύειν
ἀπαθῆ,ἀπαθῆ
ἀπαριθμῶν,ἀπαριθμῶν
ἀπαρτιλογία,ἀπαρτιλογία
ἀπατούρια,ἀπατούρια
ἀπειπεῖν,ἀπειπεῖν
ἀπεργασάμενος,ἀπεργασάμενος
ἀπεσχοινισμένος,ἀπεσχοινισμένος
ἀπηλοημένος,ἀπηλοημένος
ἀπήχεια,ἀπήχεια
ἀπίλλειν,ἀπίλλειν
ἀπιστεῖν,ἀπιστεῖν
ἁπλᾶς,ἁπλᾶς
ἀποβάτης_καὶ_ἀποβαίνειν_καὶ_ἀποβατικοὶ_τροχοί,ἀποβάτης καὶ ἀποβαίνειν καὶ ἀποβατικοὶ τροχοί
ἀπογραφή,ἀπογραφή
ἀποδέκται,ἀποδέκται
ἀποδιδόμενοι,ἀποδιδόμενοι
ἀποικία,ἀποικία
ἀποικοδομεῖς,ἀποικοδομεῖς
ἀποκηρύττοντες,ἀποκηρύττοντες
ἀπόκρισις,ἀπόκρισις
ἀπολαχεῖν,ἀπολαχεῖν
ἀπολελοιπότες,ἀπολελοιπότες
ἀπόληξις,ἀπόληξις
ἀπομάττων,ἀπομάττων
ἀπόλλων_πατρῶιος_ὁ_πύθιος,ἀπόλλων πατρῶιος ὁ πύθιος
ἀπόμισθοι,ἀπόμισθοι
ἀπὸ_μισθωμάτων,ἀπὸ μισθωμάτων
ἀπονομή,ἀπονομή
ἀποπεφασμένον,ἀποπεφασμένον
ἀποπομπάς,ἀποπομπάς
ἀπορρέξαντες,ἀπορρέξαντες
ἀπόρρητα,ἀπόρρητα
ἀπορώτατος,ἀπορώτατος
ἀποσάξαντα,ἀποσάξαντα
ἀποστασίου,ἀποστασίου
ἀποστησάμενον,ἀποστησάμενον
ἀποστολεῖς,ἀποστολεῖς
ἀποστροφήν,ἀποστροφήν
ἀπόταξις,ἀπόταξις
ἀποτιμηταί_καὶ_ἀποτίμημα_καὶ_ἀποτιμᾶν_καὶ_τὰ_ἀπ'_αὐτῶν,ἀποτιμηταί καὶ ἀποτίμημα καὶ ἀποτιμᾶν καὶ τὰ ἀπ' αὐτῶν
ἀπόταφος,ἀπόταφος
ἀποτειχίσαι,ἀποτειχίσαι
ἄπο_τοῦ_πράγματος,ἄπο τοῦ πράγματος
ἀπόφασις,ἀπόφασις
ἀποφοράν,ἀποφοράν
ἀποψηφίζονται,ἀποψηφίζονται
ἀπροβούλευτον,ἀπροβούλευτον
ἀπρόσκλητον,ἀπρόσκλητον
ἀπροστασίου,ἀπροστασίου
ἀπρότων,ἀπρότων
ἀραφήνιος,ἀραφήνιος
ἀργᾶς,ἀργᾶς
ἄργουρα,ἄργουρα
ἀργυριοθήκη,ἀργυριοθήκη
ἀργυρῖτις_γῆ_καὶ_χρυσῖτις,ἀργυρῖτις γῆ καὶ χρυσῖτις
ἀργυροκοπεῖον,ἀργυροκοπεῖον
ἀργινοῦσαι,ἀργινοῦσαι
ἀργυρόπους_δίφρος,ἀργυρόπους δίφρος
ἀργαῖος,ἀργαῖος
ἀριοβαρζάνης,ἀριοβαρζάνης
ἀρδηττός,ἀρδηττός
ἀρετή,ἀρετή
ἄρθμιος,ἄρθμιος
ἀριστεύς,ἀριστεύς
ἀρίστυλλα,ἀρίστυλλα
ἀριστίων,ἀριστίων
ἀρκτεῦσαι,ἀρκτεῦσαι
ἀρκτοῦρος_καὶ_ἀρκτοφύλαξ,ἀρκτοῦρος καὶ ἀρκτοφύλαξ
ἀρκυωρός,ἀρκυωρός
ἁρμοσταί,ἁρμοσταί
ἀρρηφορεῖν,ἀρρηφορεῖν
ἀρτεμισία,ἀρτεμισία
ἀρτεμίσιον,ἀρτεμίσιον
ἀρύββας,ἀρύββας
ἀρχαιρεσιάζειν,ἀρχαιρεσιάζειν
ἀρχαίως,ἀρχαίως
ἀρχὴ_ἄνδρα_δείκνυσι,ἀρχὴ ἄνδρα δείκνυσι
ἀρχὴν_ἰᾶσθαι_πολὺ_λώϊον_ἠὲ_τελευτήν,ἀρχὴν ἰᾶσθαι πολὺ λώϊον ἠὲ τελευτήν
ἀρχιδάμειος_πόλεμος,ἀρχιδάμειος πόλεμος
ἀσήμαντα,ἀσήμαντα
ἀσπασία,ἀσπασία
ἀσταθμητότατον,ἀσταθμητότατον
ἄστικτον_χωρίον,ἄστικτον χωρίον
ἀστράβη,ἀστράβη
ἀστυνόμος,ἀστυνόμος
ἀσυνθετώτατον,ἀσυνθετώτατον
ἀταρνεύς,ἀταρνεύς
ἀτεχνῶς,ἀτεχνῶς
ἀτίμητος_ἀγὼν_καὶ_τιμητός,ἀτίμητος ἀγὼν καὶ τιμητός
ἄτιμος,ἄτιμος
ἄττα,ἄττα
ἄττης,ἄττης
ἀττικοῖς_γράμμασιν,ἀττικοῖς γράμμασιν
αὐθέντης,αὐθέντης
αὔλειος,αὔλειος
αὔλια,αὔλια
αὐλιζόμενοι,αὐλιζόμενοι
αὐτοδικεῖν,αὐτοδικεῖν
αὐτοκλείδης,αὐτοκλείδης
αὖ,αὖ
αὐτολήκυθοι,αὐτολήκυθοι
αὐτόλυκος,αὐτόλυκος
αὐτομαχεῖν,αὐτομαχεῖν
αὐτόχθονες,αὐτόχθονες
ἀφαίρεσις,ἀφαίρεσις
ἀφαρεύς,ἀφαρεύς
ἀφανὴς_οὐσία_καὶ_φανερά,ἀφανὴς οὐσία καὶ φανερά
ἀφεὶς_καὶ_ἀπαλλάξας,ἀφεὶς καὶ ἀπαλλάξας
ἀφεὶς_τὴν_ὑπέραν_τὸν_πόδα_διώκει,ἀφεὶς τὴν ὑπέραν τὸν πόδα διώκει
ἀφ'_ἑστίας_μυεῖσθαι,ἀφ' ἑστίας μυεῖσθαι
ἀφορμή,ἀφορμή
ἀφοσιῶ,ἀφοσιῶ
ἀφροδίσιον,ἀφροδίσιον
ἀφύας,ἀφύας
ἀχαριστεῖν,ἀχαριστεῖν
βαλβῖσιν,βαλβῖσιν
βάραθρον,βάραθρον
βάσανος,βάσανος
βασιλικὴ_διαδρομή,βασιλικὴ διαδρομή
βασίλειος_στοά,βασίλειος στοά
βασκαίνει,βασκαίνει
βασανίσας,βασανίσας
βάταλος,βάταλος
βαυβοῦς,βαυβοῦς
βεβαιώσεως,βεβαιώσεως
βησαιῆς,βησαιῆς
βιαίων,βιαίων
βλιμάζειν,βλιμάζειν
βοηδρόμια,βοηδρόμια
βόθυνος,βόθυνος
βολεῶνες,βολεῶνες
βομβυλιός,βομβυλιός
βουλαία,βουλαία
βουλεία,βουλεία
βουλεύσεως,βουλεύσεως
βουτάδης,βουτάδης
βούτης,βούτης
βουφόνια,βουφόνια
βούχετα,βούχετα
βοώνης,βοώνης
βρυτίδαι,βρυτίδαι
βωμολοχεύεσθαι,βωμολοχεύεσθαι
γαληψός,γαληψός
γαμηλία,γαμηλία
γάνος_καὶ_γανιάδα,γάνος καὶ γανιάδα
γεισίπους_καὶ_γεισιπόδισμα_καὶ_γεισιποδίζειν,γεισίπους καὶ γεισιπόδισμα καὶ γεισιποδίζειν
γεννῆται,γεννῆται
γεραραί,γεραραί
γεράνεια,γεράνεια
γέρρα,γέρρα
γεωφάνιον,γεωφάνιον
γηπέδων,γηπέδων
γλαῦκος,γλαῦκος
γλυκέρα,γλυκέρα
γνῶσις,γνῶσις
γόργυρα,γόργυρα
γραμματεύς,γραμματεύς
γραφεύς,γραφεύς
γραφή,γραφή
γρυπάνιον,γρυπάνιον
γρύλλος,γρύλλος
γυλιός,γυλιός
γύλιππος,γύλιππος
γύλων,γύλων
γωνιασμός,γωνιασμός
δαιδάλου_ποιήματα.,δαιδάλου ποιήματα.
δάειρα,δάειρα
δάμων,δάμων
δάοχος,δάοχος
δαρεικός,δαρεικός
δατεῖσθαι,δατεῖσθαι
δάτος,δάτος
δεήσεις,δεήσεις
δεῖγμα,δεῖγμα
δειπνοφόρος,δειπνοφόρος
δειραδιώτης,δειραδιώτης
δείνωι,δείνωι
δεκάζων,δεκάζων
δέκα_καὶ_δεκαδοῦχος,δέκα καὶ δεκαδοῦχος
δεκαδαρχία,δεκαδαρχία
δεκατεύειν,δεκατεύειν
δεκατευτάς,δεκατευτάς
δεκατηλόγους,δεκατηλόγους
δεκελεικός,δεκελεικός
δελφίνιον,δελφίνιον
δερκυλίδας,δερκυλίδας
δερματικόν,δερματικόν
δερμηστής,δερμηστής
δευσοποιός,δευσοποιός
δημαίνετος,δημαίνετος
δηλιασταί,δηλιασταί
δήμαρχος,δήμαρχος
δημόκοινος,δημόκοινος
δημοποίητος,δημοποίητος
δημόσιος,δημόσιος
δημοτελῆ_καὶ_δημοτικὰ_ἱερά,δημοτελῆ καὶ δημοτικὰ ἱερά
δημοτευόμενος,δημοτευόμενος
δημοφάνης,δημοφάνης
διαγορεύων,διαγορεύων
διάγραμμα,διάγραμμα
διαγραφή,διαγραφή
διαγράψασθαι,διαγράψασθαι
διαδόσεις,διαδόσεις
διακεχρημένον,διακεχρημένον
διάστασις,διάστασις
διαγράψαντος,διαγράψαντος
διάθεσις,διάθεσις
διάληξις,διάληξις
διὰ_μέσου_τείχους,διὰ μέσου τείχους
διαχειροτονία,διαχειροτονία
διαμεμετρημένη_ἡμέρα,διαμεμετρημένη ἡμέρα
διάμετρον,διάμετρον
διασκευάσασθαι,διασκευάσασθαι
διασείστους,διασείστους
διαψήφισις,διαψήφισις
διαμαρτυρία_καὶ_διαμαρτυρεῖν,διαμαρτυρία καὶ διαμαρτυρεῖν
διαιτηταί,διαιτηταί
διαστῆσαι,διαστῆσαι
διδάσκαλος,διδάσκαλος
διεγγύησιν,διεγγύησιν
διεκωδώνισε,διεκωδώνισε
δι'_ἐνιαυτοῦ,δι' ἐνιαυτοῦ
διεσπευσάμην,διεσπευσάμην
διεσκαριφησάμεθα,διεσκαριφησάμεθα
διετείναντο,διετείναντο
διήλλαξεν,διήλλαξεν
διῆρξα,διῆρξα
διιπόλεια,διιπόλεια
δικαιογένης,δικαιογένης
δικαιόπολις,δικαιόπολις
δικαίωσις,δικαίωσις
δίκη,δίκη
διοικιεῖν,διοικιεῖν
διοπεύων,διοπεύων
διότιμος,διότιμος
διόφαντος,διόφαντος
διωλύγιον,διωλύγιον
διωμοσία,διωμοσία
δοκιμασθείς,δοκιμασθείς
δορίσκος,δορίσκος
δόσις,δόσις
δρακοντίδης,δρακοντίδης
δράκων,δράκων
δρογγίλον,δρογγίλον
δρομοκήρυκες,δρομοκήρυκες
δρυμός,δρυμός
δρῦς,δρῦς
δυσάνιος,δυσάνιος
δυσαύλης,δυσαύλης
δυσωποῦμαι,δυσωποῦμαι
δωριεύς,δωριεύς
δωροξενία,δωροξενία
δώρων_γραφή,δώρων γραφή
ἐάν_τις_γραψάμενος_μὴ_μεταλάβῃ_τὸ_ε_μέρος_τῶν_ψήφων_ὀφλισκάνει_χιλίας_καὶ_πρόσεστιν_ἀτιμία_τις.,ἐάν τις γραψάμενος μὴ μεταλάβῃ τὸ ε μέρος τῶν ψήφων, ὀφλισκάνει χιλίας καὶ πρόσεστιν ἀτιμία τις.
ἑβδομευομένου,ἑβδομευομένου
ἐγγυθήκη,ἐγγυθήκη
ἑδωλιάσαι,ἑδωλιάσαι
ἔθνος,ἔθνος
εἱλωτεύειν,εἱλωτεύειν
εἰσαγγελία,εἰσαγγελία
εἰς_ἐμφανῶν_κατάστασιν,εἰς ἐμφανῶν κατάστασιν
εἰς_ἓν_ἦλθεν,εἰς ἓν ἦλθεν
εἰσεπόδιζον,εἰσεπόδιζον
εἰς_ἕω,εἰς ἕω
εἰσφρήσειν,εἰσφρήσειν
ἐκαλίστρουν,ἐκαλίστρουν
ἑκάτης_νῆσος,ἑκάτης νῆσος
ἑκατομβαιών,ἑκατομβαιών
ἑκατόμνως,ἑκατόμνως
ἑκατόμπεδον,ἑκατόμπεδον
ἔκδεια,ἔκδεια
ἐκδεξάμενος,ἐκδεξάμενος
ἐκδικάσασθαι,ἐκδικάσασθαι
ἔκδοσις,ἔκδοσις
ἐκκλητεύειν,ἐκκλητεύειν
ἐκλογεῖς,ἐκλογεῖς
ἐκλώζετε,ἐκλώζετε
ἐκμαρτυρία,ἐκμαρτυρία
ἐκ_περιουσίας,ἐκ περιουσίας
ἐκπλινθεύσας,ἐκπλινθεύσας
ἐκπολεμῶσαι,ἐκπολεμῶσαι
ἐκ_προαγωγῆς,ἐκ προαγωγῆς
ἐκφυλλοφορῆσαι,ἐκφυλλοφορῆσαι
ἐλαιούς,ἐλαιούς
ἐλάτεια,ἐλάτεια
ἐλαφροτάτους,ἐλαφροτάτους
ἐλεοκόπων,ἐλεοκόπων
ἐλευθέριος_ζεύς,ἐλευθέριος ζεύς
ἐλευσίνια,ἐλευσίνια
ἑλικτῆρες,ἑλικτῆρες
ἕλιξος,ἕλιξος
ἑλλανοδίκαι,ἑλλανοδίκαι
ἑλληνοταμίαι,ἑλληνοταμίαι
ἐμβεβλημένα,ἐμβεβλημένα
ἔμβιος,ἔμβιος
ἔμβραχυ,ἔμβραχυ
ἔμμηνοι_δίκαι,ἔμμηνοι δίκαι
ἐμποδών,ἐμποδών
ἔμπουσα,ἔμπουσα
ἕναι_ἀρχαί,ἕναι ἀρχαί
ἔνδειξις,ἔνδειξις
ἐνδεκάζοντας,ἐνδεκάζοντας
ἐν_διομείοις_ἡράκλειον,ἐν διομείοις ἡράκλειον
ἐνεπίσκημμα_καὶ_ἐνεπισκήψασθαι,ἐνεπίσκημμα καὶ ἐνεπισκήψασθαι
ἐνεσκευασμένην,ἐνεσκευασμένην
ἐνετιμᾶτο,ἐνετιμᾶτο
ἕνη_καὶ_νέα,ἕνη καὶ νέα
ἔνθρυπτα,ἔνθρυπτα
ἐν_λίμναις_διονύσιον,ἐν λίμναις διονύσιον
ἐννεάκρουνον,ἐννεάκρουνον
ἐννέα_ὁδοί,ἐννέα ὁδοί
ἐν_παραβύστωι,ἐν παραβύστωι
ἐνσημαινόμενος,ἐνσημαινόμενος
ἐν_φρεαττοῖ,ἐν φρεαττοῖ
ἐξάγιστος,ἐξάγιστος
ἐξαιρέσεως_δίκη,ἐξαιρέσεως δίκη
ἐξαράσασθαι,ἐξαράσασθαι
ἐξεγγύησις,ἐξεγγύησις
ἐξένιζε,ἐξένιζε
ἐξεπρέμνιζον,ἐξεπρέμνιζον
ἐξετάζεσθαι,ἐξετάζεσθαι
ἐξηγητής,ἐξηγητής
ἐξήκεστος,ἐξήκεστος
ἐξορχησάμενος,ἐξορχησάμενος
ἐξούλης,ἐξούλης
ἐξωμοσία,ἐξωμοσία
ἐπαγγελία,ἐπαγγελία
ἐπακτὸς_ὅρκος,ἐπακτὸς ὅρκος
ἐπακτροκέλης,ἐπακτροκέλης
ἐπαλλάξεις,ἐπαλλάξεις
ἐπαναφορά,ἐπαναφορά
ἐπαιρόμενος,ἐπαιρόμενος
ἐπεδίκασε_καὶ_ἐπεδικάσαντο,ἐπεδίκασε καὶ ἐπεδικάσαντο
ἐπενεγκεῖν_δόρυ_ἐπὶ_τῆι_ἐκφορᾶι_καὶ_προαγορεύειν_ἐπὶ_τῶι_μνήματι,ἐπενεγκεῖν δόρυ ἐπὶ τῆι ἐκφορᾶι καὶ προαγορεύειν ἐπὶ τῶι μνήματι
ἐπεσκήψατο,ἐπεσκήψατο
ἐπιβάτης,ἐπιβάτης
ἐπιβλῆτας,ἐπιβλῆτας
ἐπίβοιον,ἐπίβοιον
ἐπιβολή,ἐπιβολή
ἐπιγνώμονας,ἐπιγνώμονας
ἐπιγραφέας,ἐπιγραφέας
ἐπίγυιον,ἐπίγυιον
ἐπιδέκατον,ἐπιδέκατον
ἐπὶ_δελφινίωι,ἐπὶ δελφινίωι
ἐπιδιατίθεσθαι,ἐπιδιατίθεσθαι
ἐπὶ_δηλίωι_μάχη,ἐπὶ δηλίωι μάχη
ἐπιδιετὲς_ἡβῆσαι,ἐπιδιετὲς ἡβῆσαι
ἐπίδικος_καὶ_ἐπίκληρος_καὶ_ἐπίπροικος_καὶ_ἐπικληρῖτις,ἐπίδικος καὶ ἐπίκληρος καὶ ἐπίπροικος καὶ ἐπικληρῖτις
ἐπὶ_θρασύλλωι,ἐπὶ θρασύλλωι
ἐπιθέτους_ἑορτάς,ἐπιθέτους ἑορτάς
ἐπικεκηρυχέναι,ἐπικεκηρυχέναι
ἐπικηρυκεία,ἐπικηρυκεία
ἐπὶ_κόρρης,ἐπὶ κόρρης
ἐπικράτης,ἐπικράτης
ἐπιλαχών,ἐπιλαχών
ἐπιμελητὴς_τῶν_μυστηρίων,ἐπιμελητὴς τῶν μυστηρίων
ἐπιμελητὴς_ἐμπορίου,ἐπιμελητὴς ἐμπορίου
ἐπιμήνια,ἐπιμήνια
ἐπιορκήσαντα,ἐπιορκήσαντα
ἐπὶ_παλλαδίωι,ἐπὶ παλλαδίωι
ἐπίπεμπτον,ἐπίπεμπτον
ἔπιπλον,ἔπιπλον
ἐπὶ_πρυτανείωι,ἐπὶ πρυτανείωι
ἐπισημαίνεσθαι,ἐπισημαίνεσθαι
ἐπισίτια,ἐπισίτια
ἐπίσκοπος,ἐπίσκοπος
ἐπιστάτης,ἐπιστάτης
ἐπίσταθμος,ἐπίσταθμος
ἐπιτελεοῦν_καὶ_ἐπιτελέωμα,ἐπιτελεοῦν καὶ ἐπιτελέωμα
ἐπιτιμητάς,ἐπιτιμητάς
ἐπιτείχισμα,ἐπιτείχισμα
ἐπιτρέπειν,ἐπιτρέπειν
ἐπιτρίταις,ἐπιτρίταις
ἐπιχάρης,ἐπιχάρης
ἐπιχειροτονία,ἐπιχειροτονία
ἐπιψηφίζων,ἐπιψηφίζων
ἐπόγδοον,ἐπόγδοον
ἐπωβελία,ἐπωβελία
ἐπώνια,ἐπώνια
ἐπώνυμοι,ἐπώνυμοι
ἐπωπτευκότων,ἐπωπτευκότων
ἐρανίζοντες,ἐρανίζοντες
ἔργα_νέων,ἔργα νέων
ἐργίσκη,ἐργίσκη
ἐργοκλῆς,ἐργοκλῆς
ἐργόφιλος,ἐργόφιλος
ἕρκειος_ζεύς,ἕρκειος ζεύς
ἕρμα,ἕρμα
ἑρμαῖ,ἑρμαῖ
ἕρμος,ἕρμος
ἑρμῆς_ὁ_πρὸς_τῆι_πυλίδι,ἑρμῆς ὁ πρὸς τῆι πυλίδι
ἑρμίας,ἑρμίας
ἐροιάδαι,ἐροιάδαι
ἐρυθραῖοι,ἐρυθραῖοι
ἐρχιᾶθεν,ἐρχιᾶθεν
ἐσπαθᾶτο,ἐσπαθᾶτο
ἑστιάτωρ,ἑστιάτωρ
ἐσχάρα,ἐσχάρα
ἐσχατιά,ἐσχατιά
ἑταιρεία,ἑταιρεία
ἐτεοβουτάδαι,ἐτεοβουτάδαι
ἑτερόφθαλμος,ἑτερόφθαλμος
εὐαγόρας,εὐαγόρας
εὐαίων,εὐαίων
εὐανδρία,εὐανδρία
εὔβουλος,εὔβουλος
εὔδικος,εὔδικος
εὔηνος,εὔηνος
εὐηνιώτατα,εὐηνιώτατα
εὐθίας,εὐθίας
εὔθυνοι,εὔθυνοι
εὐθύωρον,εὐθύωρον
εὐμενίδες,εὐμενίδες
εὐνεῖδαι,εὐνεῖδαι
εὐξίθεος,εὐξίθεος
εὐοῖ_σαβοῖ,εὐοῖ σαβοῖ
εὐοφθάλμως,εὐοφθάλμως
εὐρύβατον,εὐρύβατον
εὐρυμέδων,εὐρυμέδων
εὐρυσάκειον,εὐρυσάκειον
εὐσύμβολος,εὐσύμβολος
εὐφραῖος,εὐφραῖος
εὐωνυμεῖς,εὐωνυμεῖς
ἔφεσις,ἔφεσις
ἔφεκτος_τόκος,ἔφεκτος τόκος
ἐφέται,ἐφέται
ἐφ'_ἱερόν,ἐφ' ἱερόν
ἐφορία,ἐφορία
ἐφορμεῖν,ἐφορμεῖν
ἐχῖνος,ἐχῖνος
ἑωλοκρασία,ἑωλοκρασία
ζειρὰ_ἤτοι_σειρά,ζειρὰ ἤτοι σειρά
ζεῦξις,ζεῦξις
ζηλοτυποῦν,ζηλοτυποῦν
ζητητής,ζητητής
ἡγεμονία_δικαστηρίου,ἡγεμονία δικαστηρίου
ἡγεμὼν_συμμορίας,ἡγεμὼν συμμορίας
ἡγήμων,ἡγήμων
ἡγήσιππος,ἡγήσιππος
ἡδύλειον,ἡδύλειον
Ἢ_ἐν_ὁδῶι_καθελών,Ἢ ἐν ὁδῶι καθελών
ἠετιώνεια,ἠετιώνεια
ἠκρωτηριασμένοι,ἠκρωτηριασμένοι
ἡλιαία_καὶ_ἡλίασις,ἡλιαία καὶ ἡλίασις
